id,title,author,publisher,pubplace,keywords,date
A20054,"The dead tearme. Or, VVestminsters complaint for long vacations and short termes Written in manner of a dialogue betweene the two cityes London and Westminster. The contentes of this discourse is in the page following. By T. Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by W Jaggard and are to be sold by Iohn Hodgets at his house in Pauls Churchyard,London,"London (England) --  Social life and customs. -- Westminster (London, England) --  Social life and customs.",1608
A20062,"The honest whore with, the humours of the patient man, and the longing vvife. Tho: Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Middleton, Thomas, d. 1627.",Printed by V alentine S immes and others for Iohn Hodgets and are to be solde at his shop in Paules church yard,London,No Keywords,1604
A20101,"Iests to make you merie with the coniuring vp of Cock VVatt, (the walking spirit of Newgate) to tell tales. Vnto which is added, the miserie of a prison, and a prisoner. And a paradox in praise of serieants. Written by T.D. and George Wilkins.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Wilkins, George, fl. 1607. aut",By N icholas O kes for Nathaniell Butter dwelling neere to St Austins Gate at the signe of the pide Bull,Imprinted at London,English wit and humor. -- London (England) --  Social life and customs --  Early works to 1800.,1607
A20083,"The shomakers holiday. Or The gentle craft VVith the humorous life of Simon Eyre, shoomaker, and Lord Maior of London. As it was acted before the Queenes most excellent Maiestie on New-yeares day at night last, by the right honourable the Earle of Notingham, Lord high Admirall of England, his seruants.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Valentine Sims dwelling at the foote of Adling hill neere Bainards Castle at the signe of the White Swanne and are there to be sold,London,No Keywords,1600
A20091,"VVarres, vvarre[s,] vvarres","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",By Nicholas Okes for I G rismand,Imprinted at London,War poetry.,1628
A20066,"If it be not good, the Diuel is in it A nevv play, as it hath bin lately acted, vvith great applause, by the Queenes Maiesties Seruants: at the Red Bull. Written by Thomas Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Thomas Creede for I ohn T rundle And are to be sold by Edward Marchant at his shop against the Crosse in Pauls Church yarde,London,No Keywords,1612
A20078,"The ravens almanacke foretelling of a [brace] plague, famine, and ciuill warre, that shall happen this present yeare 1609, not only within this kingdome of Great Britaine, but also in France, Germany, Spaine, and other parts of Christendome : with certaine remedies, rules, and receipts, how to preuent or at least to abate the edge of these vniuersall calamities.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by E A for Thomas Archer and arto bee solde at his shop in the Popes head pallace nere the Royall Exchange,London,"Almanacs, English --  Anecdotes.",1609
A20042,"The belman of London Bringing to light the most notorious villanies that are now practised in the kingdome. Profitable for gentlemen, lawyers, merchants, citizens, farmers, masters of housholdes, and all sorts of seruants to mark, and delightfull for all men to reade.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",By E Allde for Nathaniell Butter,Printed at London,Crime --  England --  London --  Early works to 1800. -- Criminals --  England --  London --  Early works to 1800. -- Cant --  Early works to 1800.,1608
A20095,"VVorke for armorours: or, The peace is broken Open warres likely to happin this yeare 1609: Written by Thomas Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Nicholas Okes for Nathaniel Butter dwelling in Poules Church yard at the signe of the Pide bull neere S Austins gate,London,No Keywords,1609
A20087,"A strange horse-race at the end of which, comes in the catch-poles masque. And after that the bankrouts banquet: vvhich done, the Diuell, falling sicke, makes his last will and testament, this present yeare. 1613. VVritten by Thomas Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Nicholas Okes for Ioseph Hunt and are to bee sold at his shop in Bedlem neere Moore field Gate,London,London (England) --  Social life and customs --  Early works to 1800.,1613
A20076,"The pleasant comedie of old Fortunatus As it was plaied before the Queenes Maiestie this Christmas, by the Right Honourable the Earle of Nottingham, Lord high Admirall of England his seruants.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by S S tafford for William Aspley dwelling in Paules Church yard at the signe of the Tygers head,London,No Keywords,1600
A20073,"The Owles almanacke prognosticating many strange accidents which shall happen to this kingdome of Great Britaine this yeere, 1618 : calculated as well for the meridian mirth of London, as any other part of Great Britaine : found in an Iuy-bush written in old characters / and now published in English by the painefull labours of Mr. Iocundary Merry-braines.","Dekker, Thomas, ca. 1572-1632.; L. L.; Merry-braines, Jocundary.",Printed by E G for Lawrence Lisle and are to be sold at his shop in Pauls Church yard at the signe of the Tygres head,London,"Almanacs, English --  Anecdotes.",1618
A20057,Foure birds of Noahs arke viz. 1. The dove. 2. The eagle. 3. The pellican. 4. The phoenix. ...,"Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by H B allard for Nathaniel Butter and are to be sold at his shop neere S Austins Gate,London,Prayers.,1609
A20038,"The bachelers banquet: or A banquet for bachelers vvherein is prepared sundry daintie dishes to furnish their tables, curiously drest, and seriously serued in. Pleasantly discoursing the variable humours of vvomen, their quicknesse of wittes, and vnsearchable deceits.","Dekker, Thomas, ca. 1572-1632, attributed name.; La Sale, Antoine de, b. 1388?, attributed name.; Tofte, Robert, 1561-1620, attributed name.",Printed by T C reede and are to be solde by T Pauier,London,Women --  Humor --  Early works to 1800.,1604
A20092,The vvhore of Babylon As it was acted by the Princes Seruants. Written by Thomas Dekker.,"Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed at Eliot s Court Press for Nathaniel Butter,London,"Elizabeth --  I, --  Queen of England, 1533-1603 --  Drama --  Early works to 1800.",1607
A20080,"A rod for run-awayes Gods tokens, of his feareful iudgements, sundry wayes pronounced vpon this city, and on seuerall persons, both flying from it, and staying in it. Expressed in many dreadfull examples of sudden death ... By Tho. D.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",By G Purslowe for Iohn Trundle and are to be sold at his shop in Smithfield,Printed at London,Plague --  England --  London --  Early works to 1800. -- London (England) --  History --  17th century --  Early works to 1800.,1625
A20082,"The seuen deadly sinnes of London drawne in seuen seuerall coaches, through the seuen seuerall gates of the citie bringing the plague with them. Opus septem dierum. Tho: Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by E dward A llde and S Stafford for Nathaniel Butter and are to be solde at his shop neere Saint Austens gate,At London,Crime --  England --  London --  Early works to 1800. -- Criminals --  England --  London --  Early works to 1800. -- London (England) --  Social life and customs --  Early works to 1800.,1606
A20090,"Troia-Noua triumphans London triumphing, or, The solemne, magnificent, and memorable receiuing of that worthy gentleman, Sir Iohn Svvinerton Knight, into the citty of London, after his returne from taking the oath of maioralty at Westminster, on the morrow next after Simon and Iudes day, being the 29. of October. 1612. All the showes, pageants, chariots of triumph, with other deuices, (both on the water and land) here fully expressed. By Thomas Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Nicholas Okes and are to be sold by Iohn Wright dwelling at Christ Church gate,London,"Swinerton, John, --  Sir.",1612
A20100,"Vvest-vvard hoe As it hath been diuers times acted by the Children of Paules. By Tho: Decker, and Iohn Webster.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Webster, John, 1580?-1625? aut",By William Jaggard and to be sold by Iohn Hodgets dwelling in Paules Churchyard,Printed at London,No Keywords,1607
A20047,"O per se O. Or A new cryer of Lanthorne and candle-light Being an addition, or lengthening, of the Bell-mans second night-walke. In which, are discouered those villanies, which the bell-man (because hee went i'th darke) could not see: now laid open to the world. Together with the shooting through the arme, vsed by counterfeit souldiers: the making of the great soare, (commonly called the great cleyme:) the mad-mens markes: their phrase of begging: the articles and oathes giuen to the fraternitie of roagues, vagabonds, and sturdy beggers at their meetings. And last of all, a new canting-song.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",By Thomas Snodham for Iohn Busbie and are to be sould at his shop in S Dunstans Church yard in Fleete street,Printed at London,Crime --  England --  London --  Early works to 1800. -- Criminals --  England --  London --  Early works to 1800. -- Cant --  Early works to 1800.,1616
A20055,"Dekker his dreame In which, beeing rapt with a poeticall enthusiasme, the great volumes of heauen and hell to him were opened, in which he read many wonderfull things.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Nicholas Okes,London,Eschatology --  Poetry.,1620
A20094,"The vvonderfull yeare. 1603 Wherein is shewed the picture of London, lying sicke of the plague. At the ende of all (like a mery epilogue to a dull play) certaine tales are cut out in sundry fashions, of purpose to shorten the liues of long winters nights, that lye watching in the darke for vs.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Thomas Creede and are to be solde in Saint Donstones Church yarde in Fleet streete by N Ling J Smethwick and J Browne,London,Plague --  England --  London --  Early works to 1800. -- London (England) --  History --  17th century --  Early works to 1800.,1603
A20098,"North-vvard hoe Sundry times acted by the Children of Paules. By Thomas Decker, and Iohn Webster.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Webster, John, 1580?-1625? aut",By G Eld,Imprinted at London,No Keywords,1607
A20051,"The blacke rod, and the vvhite rod (justice and mercie,) striking, and sparing, [brace] London.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by B A and T F for Iohn Covvper,London,Plague --  England --  Early works to 1800.,1630
A20075,"Penny-vvis[e] pound foolish or, a Bristovv diamond, set in t[wo] rings, and both crack'd Profitable for married men, pleasant for young men, a[nd a] rare example for all good women.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by A ugustine M athewes for Edward Blackmore and are to be sould in Pauls Church yard at the signe of the Angell,At London,No Keywords,1631
A20067,A knights coniuring Done in earnest: discouered in iest. By Thomas Dekker.,"Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632. Newes from hell.",Printed by T homas C reede for VVilliam Barley and are to be solde at his shop in Gratious streete,London,London (England) --  Social life and customs.,1607
A20053,"Brittannia's honor brightly shining in seuerall magnificent shevves or pageants, to celebrate the solemnity of the Right Honorable Richard Deane, at his inauguration into the majoralty of the honourable citty of London, on Wednesday, October 29th. 1628. At the particular cost, and charges of the right vvorshipfull, worthy, and ancient Society of Skinners. Inuented by Tho. Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",N Okes and J Norton,London,"Deane, Richard, --  Sir.",1628
A20065,"The second part of The honest whore with the humours of the patient man, the impatient wife: the honest whore, perswaded by strong arguments to turne curtizan againe: her braue refuting those arguments. And lastly, the comicall passages of an Italian bridewell, where the scæne ends. Written by Thomas Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Elizabeth All de for Nathaniel Butter,London,No Keywords,1630
A20077,The pleasant comodie of patient Grisill As it hath beene sundrie times lately plaid by the right honorable the Earle of Nottingham (Lord high Admirall) his seruants.,"Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Chettle, Henry, d. 1607? aut; Haughton, William, d. 1605. aut; Boccaccio, Giovanni, 1313-1375.",Imprinted by E Allde for Henry Rocket and are to be solde at the long shop vnder S Mildreds Church in the Poultry,London,No Keywords,1603
A20069,"The magnificent entertainment giuen to King Iames, Queene Anne his wife, and Henry Frederick the Prince, vpon the day of his Maiesties tryumphant passage (from the Tower) through his honourable citie (and chamber) of London, being the 15. of March. 1603. As well by the English as by the strangers: vvith the speeches and songes, deliuered in the seuerall pageants. Tho. Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Bby T homas C reede Humphrey Lownes Edward Allde and others for Tho Man the yonger,Imprinted at London,No Keywords,1604
A21136,"The merry deuill of Edmonton As it hath beene sundry times acted, by his Maiesties Seruants, at the Globe, on the banke-side.","Shakespeare, William, 1564-1616, attributed name.; Dekker, Thomas, ca. 1572-1632, attributed name.; Heywood, Thomas, d. 1641, attributed name.",Printed by Henry Ballard for Arthur Iohnson dwelling at the signe of the white horse in Paules Church yard ouer against the great north doore of Paules,London,"Fabell, Peter, 15th cent --  Drama --  Early works to 1800.",1608
A20088,"A tragi-comedy: called, Match mee in London As it hath beene often presented; first, at the Bull in St. Iohns-street; and lately, at the Priuate-House in Drury-Lane, called the Phœnix Written by Tho: Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by B Alsop and T Favvcet for H Seile at the Tygers head in St Pauls Church yard,London,No Keywords,1631
A20096,"The famous history of Sir Thomas VVyat With the coronation of Queen Mary, and the coming in of King Philip. As it was plaied by the Queens Maiesties Seruants. Written by Thomas Dickers, and Iohn Webster.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Webster, John, 1580?-1625? aut",Printed by E dward A llde for Thomas Archer and are to be solde at his shop in the Popes head Pallace nere the Royall Exchange,London,"Wyatt, Thomas, --  Sir, 1521?-1554 --  Drama. -- Grey, Jane, --  Lady, 1537-1554 --  Drama.",1607
